PeriMac_YF1	PeriMac_YF2	PeriMac_YF3	PeriMac_YF4	PeriMac_YF5	PeriMac_OF1	PeriMac_OF2	PeriMac_OF3	PeriMac_OF4	PeriMac_OF5	PeriMac_YM1	PeriMac_YM2	PeriMac_YM3	PeriMac_YM4	PeriMac_YM5	PeriMac_OM1	PeriMac_OM2	PeriMac_OM3	PeriMac_OM4	PeriMac_OM5
Rp1	10.025076757384	9.72457294057972	10.4829761068502	10.3369755442769	10.5130117527376	10.1110810557975	10.324609408916	10.4372748072263	10.2296517174463	10.3749019724604	10.0524478044206	10.4365161609992	10.4922671079214	10.3254524030695	10.5005334734135	9.83137435783209	10.1801277593875	9.2418757119733	10.3225786939823	10.0204242479829
Mrpl15	8.55062227150845	8.75935163711822	8.28208516196379	8.4908846905915	8.59246693697293	8.48650504109805	8.52773627469922	8.48856727471108	8.52936104601129	8.58607354223327	8.62383858167922	8.54904912994933	8.6022746232341	8.61676571037958	8.62511457073353	8.47797695191436	8.52161776669306	8.50210262084441	8.63277080745115	8.792689458851
Lypla1	8.91274797647102	8.96582655366185	8.85956206127725	8.90369605963453	8.8849962620139	8.9318661672381	8.88486419971061	8.83541789280918	9.00690611545883	8.97602838021478	8.89238215342265	9.10297236958846	8.978277291486	8.93762951139849	9.03055878821854	9.07264337158965	8.95857762472299	9.13325566857413	8.92409474045262	8.85872366562012
Tcea1	9.87566975040751	10.130436535633	9.94263920717049	9.89626811871838	10.0018052393778	9.79076800293445	9.92918170935126	9.80538945814794	9.77767746980854	9.96018809643379	9.8982930766432	9.92979743839508	9.89030311175587	9.77382706712044	9.99928228321601	9.71030370271205	9.84871089748866	9.9310586952549	9.86894913341495	9.89953384942235
Rgs20	5.91618018911025	6.07539224089604	5.90816635763159	5.9952434637148	5.94571450846615	6.05883748204861	5.96689044417427	5.98101004944199	6.2985541781551	5.97175705597887	5.85194789283544	6.03313694561238	6.1287829991064	5.58690194766628	5.58690194766628	5.78206035948981	6.14499970434869	6.24599110034938	5.79815480238019	5.58690194766628
Atp6v1h	9.35362031279613	9.20195329717153	9.20755707164483	9.48582094245599	9.2746481999941	9.194849371377	9.31433545499672	9.28860613627819	9.22137661574942	9.31904052386594	9.18445727242345	9.26276478858057	9.23431470389431	9.24595365751097	9.28623171339495	9.47242307624498	9.32731378416977	9.5181522143223	9.38982795114511	9.46492078395916
Rb1cc1	10.8296794378819	10.8140996242529	11.1737508335434	11.2868624910321	11.1709253821735	10.6372253180941	11.0302003741744	11.0431278392712	10.9190429402034	11.2280381691334	10.8168418693111	11.1210520865407	11.1441265893916	11.1738085847116	11.404321351426	10.7540915487977	10.738814430436	10.8788248597046	11.071220317969	10.7391072630677
Pcmtd1	10.1185091110565	10.3740162074469	10.2796678338958	10.288542909345	10.3626654190834	10.0732865850091	10.3274403314224	10.2601169247345	10.2110656691606	10.3331272472328	10.0379796028489	10.1030965950841	9.97161033298053	10.1060760806872	10.2378996206984	10.0332973155686	10.12227940176	10.225810417447	10.0795133076117	9.99316702766216
Sntg1	5.96684657394721	5.58690194766628	5.90816635763159	5.58690194766628	5.79441787678441	5.58690194766628	6.15485893957113	6.09465221239686	5.97003756637748	5.77975694495167	5.77444932099744	5.9331023466135	5.58690194766628	5.58690194766628	5.58690194766628	6.06313981710046	5.98275896716774	7.46582118662489	5.58690194766628	5.80895873339519
Rrs1	8.25990067130915	8.44204335214881	8.08044961393485	8.32283788411108	8.22197788883568	8.20460104914964	8.23977047789515	8.15650392879833	8.46704298565246	8.04763137927833	8.40527714736639	8.16213031169051	8.19439876650742	8.12902089649941	8.10235000391864	8.31237687249624	8.19514498955449	8.32602943512134	8.2240843234519	8.81504611898542
Adhfe1	6.29270931712563	6.19761621736682	6.48298012223232	6.20793209048091	6.327594668997	6.39727219427771	6.34048137245317	6.26537218210963	6.12716872867245	6.30170289250655	6.20463457091186	6.21550785037689	6.28379170902147	5.97002313158644	6.44756495056495	6.100913351997	6.1093563236864	6.03335056490284	6.24969499506727	6.21072237483151
2610203C22Rik	7.40676905955801	7.21888360693046	7.34027772308395	7.28808127755075	7.20138486968214	7.09018581994077	7.14864311581692	6.72128632012367	7.12107167590671	6.7737780956114	7.36723649069549	7.36281469666014	7.20929628035389	6.97093814707498	7.2327275766742	6.93238101036261	6.4398830291263	6.62506772967162	6.66063146242105	6.6080209627315
3110035E14Rik	6.36304954791974	6.14005316012765	6.22553216969081	5.92068052309363	6.26936680193538	5.86018179436885	6.34048137245317	6.18646173669462	5.85821657875613	6.12957944713318	6.14642703539287	5.9331023466135	6.1716363950657	6.40592943862711	6.3633985219485	5.92441381897204	6.02913976748817	5.93326860039479	5.95215335263379	5.9707620581505
Mybl1	6.62513307528117	6.65954719429573	6.60858602871137	6.45864534995138	6.38122945043998	6.85795702563737	6.24133991025893	6.30135785992047	6.51220755138592	6.45803809279054	6.98527395778238	6.90000507773036	6.609117796642	6.46085990202765	6.75984896338294	6.40453397669221	6.77682953023372	6.70986662565295	6.64141524420471	6.95798019244383
Vcpip1	10.7809899420425	10.944409321578	10.9709801921031	11.047934297665	10.9833805485397	10.8718814021434	11.0015616887016	10.9461189011571	11.084574815959	11.1178317440227	10.639722822583	10.8297696771337	10.8263972739178	10.8134833226328	10.9255171767249	10.693172069382	10.6783353166491	10.9916702800414	10.8661403962325	10.7724512685969
1700034P13Rik	6.64104891566853	6.64477305025824	6.92327657615687	6.59720182455364	6.64241670709899	6.53726067899098	6.80030007345267	6.89224322377945	6.92400758715543	7.03296971265465	6.68619151668563	6.42511296161917	6.86151472867256	6.60612216408108	6.82701620031346	6.69806048046401	6.29563590386818	6.5700452178601	6.53850450910158	6.6080209627315
Sgk3	10.8156475195852	10.8734064770428	10.7896365720956	11.014064318955	11.0384266084091	10.7261683481761	10.7660953559599	10.7841872034639	10.7377739473355	10.9224834323545	10.783917156577	10.858886830709	11.0350898823731	10.902747527492	11.063197734884	10.6738372664497	10.7311020060287	10.2601095781112	10.9973282087225	10.7226287969976
Mcmdc2	6.15479382815178	6.24993607573023	6.26359537191519	6.36207079564853	6.43115188328002	6.39727219427771	6.36313756991402	6.39908885874599	6.24669903791537	5.97175705597887	6.30630474829243	6.24567863654677	6.28379170902147	6.28170532464091	6.44756495056495	6.02197174517244	6.26834684344569	6.03335056490284	5.88539290095207	6.28302774721479
Snhg6	7.25862067125112	7.21026078854725	7.30471464954701	7.4482449154874	7.25480131805401	7.33435184963825	7.07915367188367	6.95989758118597	7.53918729220315	7.50348510467094	7.23609589064383	7.20142380511865	6.99012427106355	7.07321312547272	7.21466321056039	7.07082070920259	7.3573155218915	7.17119556574118	7.36365963889944	7.54242051858065
Snord87	6.21384639278788	6.68839741183806	6.33353140250202	6.05789518930396	6.20524281533673	6.22357948622313	6.15485893957113	6.14254893589113	6.19007173517113	6.24962648017236	6.14642703539287	6.07534268819207	6.03020531314002	6.34659036001009	6.01158280038531	6.02197174517244	6.02913976748817	6.03335056490284	6.05760922691575	6.37836711911629
Tcf24	5.96684657394721	5.8488999144761	6.14108514429069	6.11291164020027	5.79441787678441	5.86018179436885	5.85598154795685	5.81491115085135	5.85821657875613	6.05756015032463	6.0051002897921	5.86979865488352	5.97118896018585	6.16987595664614	6.01158280038531	5.86268800070809	5.98275896716774	6.03335056490284	6.00828575891057	5.9707620581505
Cops5	8.86899286178674	8.88975406398275	8.66229261865492	8.8475502804536	8.73952772120701	9.05768387352133	8.73209741196235	8.75233312953795	8.74250469647304	8.80436406841913	9.02562943720506	8.95045860149408	8.90372776286043	8.94436620742175	8.86483481886946	9.18907763144902	9.008324753585	9.01303323193782	8.87044771937916	9.12279463326959
Cspp1	9.03411451966253	9.38214256446332	9.28200339475919	9.46212082498664	9.42516151937256	9.05532117428786	9.36686069171199	9.27175620349724	9.27829002008308	9.37836270503002	9.1905365805106	9.26932150358463	9.25891068084533	9.49698374992273	9.48947423771822	9.00939658153583	8.94249794530454	9.07441646302269	9.20417892161361	9.21214368760722
Arfgef1	11.2692632762682	11.3550204605076	11.4336920637028	11.4813669545116	11.3779479321884	11.1834365941751	11.3593677475082	11.2967741296882	11.1671521489472	11.4228385672846	11.279973466915	11.42147540731	11.3338160923204	11.3687652628803	11.4203141712281	11.189872758325	11.2403961775885	11.4937236942294	11.2223135286844	11.224610124203
Sulf1	6.05157199612369	5.77228959141093	5.90816635763159	5.82318161652906	5.88012190227104	5.97280457931957	6.01143769935354	6.26537218210963	6.12716872867245	5.8594377973041	5.96121013621701	5.86979865488352	5.97118896018585	5.58690194766628	5.77737309178587	5.78206035948981	6.07097418072645	5.58690194766628	6.10208440195075	6.17099177332965
Slco5a1	5.58690194766628	5.90756327354577	6.09331192222254	5.9952434637148	6.00087005267518	5.92135123749373	6.01143769935354	6.22721233373853	5.85821657875613	5.77975694495167	5.85194789283544	6.15002075242003	5.90097881338929	5.80852960934643	5.77737309178587	5.58690194766628	5.86725273236644	5.86993472443827	5.95215335263379	6.02971380151948
Ncoa2	11.1927681767527	11.1288678356628	11.2466406876242	11.3186041016117	11.229581378767	11.1409502967127	11.2013357953987	11.2731156193327	11.2248370876189	11.2066606551774	11.0233151954001	11.1948269498039	11.2697574045085	11.2274710564493	11.2749454094747	11.1184715248635	11.1455632205064	11.2685208669822	11.280376908881	11.024121898097
Tram1	11.0528439654223	11.3159627928933	10.7650272258115	10.9324304832362	11.1355737043571	10.8113275228441	10.8530845629309	10.8335641405332	10.9616254121526	10.8374938843776	11.13559726784	11.0552934533546	11.016087276975	11.0608588209309	10.8618589062585	11.2034147394355	11.0074935358565	11.1379215461577	11.1766950622061	10.8378097847087
Lactb2	8.90767005663506	9.14190510956742	9.04914064424698	8.94247740726463	9.19298162868332	9.0834173059806	9.22564433019985	8.93909684692441	8.8216614502988	9.14907162614869	9.05039254207228	9.16999326342575	9.20928654916313	9.20179583263992	9.0070216607266	8.88465576770912	9.0736894324733	8.84975873089634	8.92409474045262	8.99201663496316
Gm5523	5.77728556185059	6.03946176522227	5.58690194766628	5.82318161652906	5.58690194766628	5.78028420382924	6.05162549715949	5.81491115085135	5.97003756637748	5.97175705597887	6.0051002897921	5.58690194766628	5.8092066567773	5.58690194766628	5.96702050441437	5.97633305050044	5.78529558644605	5.98653404227152	5.88539290095207	6.12818448599783
Eya1	6.31697467127799	6.14005316012765	6.09331192222254	6.11291164020027	6.13314226332056	6.25140968039629	6.24133991025893	6.42892043834819	6.05546336976609	6.53475524601451	6.17628929521722	5.86979865488352	5.90097881338929	5.97002313158644	5.85607391130739	5.92441381897204	6.1093563236864	5.58690194766628	5.95215335263379	6.12818448599783
Terf1	8.14169533900522	8.49803824232198	8.35403284605199	8.31087432921993	8.38048367982748	8.18710976480044	8.31951668873448	8.25899148673328	8.1500583851044	8.46982745710096	8.24833354310089	8.37115048759222	8.1651497468709	8.35645234345246	8.53183107408362	8.01668965997346	8.12909999223262	8.00533327637396	8.23933911577171	8.5648559349732
Rpl7	13.5244719372991	13.5265407100184	13.4298831336528	13.6365521505985	13.5223246600573	13.4725809422476	13.3649933859073	13.5043186091488	13.6130837496623	13.6102890010049	13.522925505721	13.5524062146496	13.4196879396774	13.4065743400616	13.5441456449947	13.5635091332847	13.6535823156571	13.4935437255759	13.6543950725244	13.5758227629598
Rdh10	7.68368491362499	7.47334194058125	7.69368198439132	7.60031022292619	7.5983120603892	7.44769307847385	7.66508955927479	7.75040647947395	7.72357628903068	7.50348510467094	7.39031404678953	7.6891290545407	7.49608644603204	7.6214123505495	7.60094775643957	7.77805511163072	7.55148547015669	7.44104415426919	7.56397819708123	7.47440534220017
Stau2	8.32699518898297	8.45542295331652	8.43264624848675	8.53757528754485	8.51869916775578	8.26827306489704	8.46987324633363	8.52738386136853	8.26948279414625	8.63126292789266	8.40174030847779	8.49350105836418	8.580552808209	8.3149326023773	8.42469097860238	8.45970664215871	8.38012829512436	8.18694019157754	8.40583780633886	8.1746181779783
