baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F	baseMean_M	log2FoldChange_M	lfcSE_M	stat_M	pvalue_M	padj_M
Rp1	1109.83956105045	0.00357053183634114	0.00928000449874891	0.384755399291293	0.700418646146957	0.976754314222226	1102.15026064686	-0.0277888489925766	0.0124044761938491	-2.24022752418648	0.0250761556443627	0.232009790207334
Mrpl15	272.538052777878	-0.00209259575452966	0.00722365988959609	-0.289686362108981	0.772056190637062	0.98610916571764	306.59662432815	-0.00149879160953334	0.00635728861651626	-0.235759566686885	0.813619244889585	0.941276514766346
Lypla1	380.551135440583	0.00131469618688506	0.00490344555093668	0.268116811582402	0.788609405671707	0.98610916571764	430.842479623133	0.000131401233238843	0.00600545394566087	0.0218803165302407	0.982543426150188	0.995570679116715
Tcea1	845.980374639703	-0.00818743743181823	0.00504306876278912	-1.62350303296085	0.104481915534355	0.628839461122873	873.878548645243	-0.00351462821594041	0.00482922010404161	-0.727783811924205	0.466745935518877	0.771422263430063
Atp6v1h	517.387707232161	-0.00281402593700623	0.00532724296906531	-0.528233075410105	0.597337575395006	0.960512457371282	574.614617501009	0.0138190628226705	0.00459206687620511	3.00933396555639	0.00261821140869937	0.0714964396799811
Rb1cc1	1932.93396786209	-0.00556620844198424	0.00802377791448319	-0.693714170719636	0.487861477393029	0.937391649017657	2017.69451349197	-0.0199606652008549	0.00768278040469425	-2.59810435147395	0.00937400020289782	0.137834949370348
Pcmtd1	1103.73636110747	-0.00303899078589808	0.00512044544884908	-0.593501252236005	0.552845745185663	0.951972718385248	1030.64588025693	-0.000262348990265874	0.00512449453308748	-0.0511950961352299	0.95917005943967	0.990559463386967
Rrs1	209.667977489296	-0.00453197198531901	0.00817286155469028	-0.554514713725719	0.579226638793186	0.956639131337806	233.995172130515	0.0158231187748778	0.0107444136763165	1.47268331726246	0.140836447028569	0.478490449246601
Adhfe1	11.6752626883689	-0.000972162063944659	0.0242601484367347	-0.0400723872930889	0.968035415861271	0.996542329936047	9.01339336624387	-0.0313314234868374	0.0306504280238928	-1.02221813876184	0.306677667617521	0.648185367896617
2610203C22Rik	60.3607957046502	-0.0394180839193211	0.0134842918061609	-2.92325948488532	0.00346387716645643	0.100615360475148	50.7358133913423	-0.0821134168801755	0.0167590068417543	-4.89965889121745	9.60031846335118e-07	0.000302794044334096
3110035E14Rik	7.43978607014463	-0.0278353630307366	0.0379128809592726	-0.734192768432407	0.462831260265518	0.933483056531665	6.69187672939131	-0.0966338470997464	0.0377643405410637	-2.55886494283331	0.0105014530882278	0.147984276801163
Mybl1	20.6156768351089	-0.00986096150038934	0.0243021512930715	-0.405764962182614	0.68491530538593	0.9733201268228	33.3278031361865	-0.00899055407687078	0.0214348967856826	-0.419435379921027	0.674897971863141	0.884039819984453
Vcpip1	1865.57860482188	0.00373114582904647	0.00471387436318024	0.791524241331122	0.428638135945857	0.920807030093006	1751.93966103792	-0.000497346206860959	0.0057010319420341	-0.0872379267328763	0.930482393085349	0.982792402614028
1700034P13Rik	33.5811197708336	0.0244086636472718	0.017476955669846	1.39661987524437	0.162527910283709	0.730448977752792	26.8952595101768	-0.0259789354619458	0.020472888054758	-1.26894336512079	0.20446126418759	0.554966288509174
Sgk3	1700.61550644861	-0.0080199399832548	0.00476900113858836	-1.68168128926653	0.0926306581610437	0.602714552688715	1767.09163609043	-0.0158068857076083	0.00846267551735686	-1.8678354942463	0.0617850043625817	0.341057844120006
Mcmdc2	11.5471365788583	-0.000396762237879753	0.0276895070271661	-0.0143289744194612	0.988567523758311	0.999173987947584	9.9371562995419	-0.0581250863504881	0.0299533820426897	-1.94051831167672	0.0523167309491941	0.320869167552277
Snhg6	74.0268925872022	0.000494063557415289	0.0135711814600957	0.0364053460539171	0.970959151472208	0.997154065515598	71.8408393653143	0.0190070090655696	0.0127679832957142	1.48864614131737	0.136580574466212	0.472176682891666
Snord87	10.5892774873183	-0.0398963354074243	0.0308188402331753	-1.29454369812649	0.195477685501805	0.773768744205635	7.10815686890198	-0.00536646031553463	0.0356578144648319	-0.150498856872661	0.88037105255019	0.964212275281986
Cops5	348.518125563381	0.00146940872600329	0.00670382466236355	0.219189611902114	0.826502347241878	0.987968784504582	431.23240075731	0.00782635770267002	0.00589750847440581	1.32706171371098	0.184488268902465	0.53302797812273
Cspp1	522.203909022556	-0.00372027528828743	0.0071018253636676	-0.523847757130171	0.600384433758504	0.960512457371282	522.595819515665	-0.0189367692536255	0.00692875031365041	-2.73307139042346	0.00627467303341222	0.113411568752906
Arfgef1	2420.51813252749	-0.00623131119491833	0.00456155434185936	-1.36604997505704	0.171923278143855	0.744527342398219	2545.73625345516	-0.00583641988883681	0.0049161423035782	-1.18719506646274	0.235150686446223	0.585602262180329
Ncoa2	2218.66010475332	-0.00105594003410286	0.00349226107031508	-0.302365720329033	0.762373283682629	0.983924504004863	2306.36224004636	-0.00212835069875564	0.00518411113538708	-0.410552675892185	0.681400570730577	0.887527122192362
Tram1	1840.98061014058	-0.0128797412196375	0.00626810742030811	-2.05480543902427	0.0398978006668938	0.415305747665277	2096.18970702575	0.0031364620083309	0.00588072459226842	0.533346181940659	0.593793964616998	0.846021725763072
Lactb2	425.88269752274	0.000282163178839116	0.00702750451900471	0.0401512625251329	0.967972533139608	0.996542329936047	449.229778054769	-0.0137849319159617	0.00577171071522938	-2.38836154410658	0.0169236838089071	0.190384545115377
Terf1	222.283396766285	-0.00483995447604167	0.00778981695580404	-0.62131812640803	0.534390329553639	0.947692242600344	228.240399007371	-0.0118909463387382	0.0104984416345225	-1.13263918138447	0.257365807605042	0.606606976125475
Rpl7	11330.7357812776	-0.00101352385119453	0.00413041130477096	-0.245380853481548	0.80616155262299	0.98610916571764	12200.3236827812	0.00604750810402527	0.00364120060353876	1.66085551511441	0.0967424683884297	0.412344651428903
Rdh10	108.761883016737	0.000405953223248653	0.00921803100759292	0.0440390385879879	0.964873285745956	0.996542329936047	108.897203961657	0.000463687543002986	0.0101265988226816	0.0457890700641183	0.963478370499778	0.991979956702962
