baseMean_F	log2FoldChange_F	lfcSE_F	stat_F	pvalue_F	padj_F
Rp1	1109.83956105045	0.00357053183634114	0.00928000449874891	0.384755399291293	0.700418646146957	0.976754314222226
Mrpl15	272.538052777878	-0.00209259575452966	0.00722365988959609	-0.289686362108981	0.772056190637062	0.98610916571764
Lypla1	380.551135440583	0.00131469618688506	0.00490344555093668	0.268116811582402	0.788609405671707	0.98610916571764
Tcea1	845.980374639703	-0.00818743743181823	0.00504306876278912	-1.62350303296085	0.104481915534355	0.628839461122873
Rgs20	4.35245705442037	0.0347008050367902	0.0404143475340076	0.858625887937209	0.390546950717103	0.905076838232233
Atp6v1h	517.387707232161	-0.00281402593700623	0.00532724296906531	-0.528233075410105	0.597337575395006	0.960512457371282
Rb1cc1	1932.93396786209	-0.00556620844198424	0.00802377791448319	-0.693714170719636	0.487861477393029	0.937391649017657
Pcmtd1	1103.73636110747	-0.00303899078589808	0.00512044544884908	-0.593501252236005	0.552845745185663	0.951972718385248
Sntg1	2.38136284045528	0.0858596556828483	0.0711810892812976	1.20621441101502	0.227734828748269	0.803848885735442
Rrs1	209.667977489296	-0.00453197198531901	0.00817286155469028	-0.554514713725719	0.579226638793186	0.956639131337806
Adhfe1	11.6752626883689	-0.000972162063944659	0.0242601484367347	-0.0400723872930889	0.968035415861271	0.996542329936047
2610203C22Rik	60.3607957046502	-0.0394180839193211	0.0134842918061609	-2.92325948488532	0.00346387716645643	0.100615360475148
3110035E14Rik	7.43978607014463	-0.0278353630307366	0.0379128809592726	-0.734192768432407	0.462831260265518	0.933483056531665
Mybl1	20.6156768351089	-0.00986096150038934	0.0243021512930715	-0.405764962182614	0.68491530538593	0.9733201268228
Vcpip1	1865.57860482188	0.00373114582904647	0.00471387436318024	0.791524241331122	0.428638135945857	0.920807030093006
1700034P13Rik	33.5811197708336	0.0244086636472718	0.017476955669846	1.39661987524437	0.162527910283709	0.730448977752792
Sgk3	1700.61550644861	-0.0080199399832548	0.00476900113858836	-1.68168128926653	0.0926306581610437	0.602714552688715
Mcmdc2	11.5471365788583	-0.000396762237879753	0.0276895070271661	-0.0143289744194612	0.988567523758311	0.999173987947584
Snhg6	74.0268925872022	0.000494063557415289	0.0135711814600957	0.0364053460539171	0.970959151472208	0.997154065515598
Snord87	10.5892774873183	-0.0398963354074243	0.0308188402331753	-1.29454369812649	0.195477685501805	0.773768744205635
Tcf24	3.01363248500707	-0.0420414615031827	0.0511628062328041	-0.821719225327147	0.411236714719616	0.911976688983503
Cops5	348.518125563381	0.00146940872600329	0.00670382466236355	0.219189611902114	0.826502347241878	0.987968784504582
Cspp1	522.203909022556	-0.00372027528828743	0.0071018253636676	-0.523847757130171	0.600384433758504	0.960512457371282
Arfgef1	2420.51813252749	-0.00623131119491833	0.00456155434185936	-1.36604997505704	0.171923278143855	0.744527342398219
Sulf1	3.73430767774035	0.0721142187282675	0.0479446649942056	1.50411351788532	0.132552140242071	0.682163260868976
Slco5a1	3.41674987225563	0.0161601570758283	0.0530086984802789	0.304858589988593	0.760473855731439	0.98375876547019
Ncoa2	2218.66010475332	-0.00105594003410286	0.00349226107031508	-0.302365720329033	0.762373283682629	0.983924504004863
Tram1	1840.98061014058	-0.0128797412196375	0.00626810742030811	-2.05480543902427	0.0398978006668938	0.415305747665277
Lactb2	425.88269752274	0.000282163178839116	0.00702750451900471	0.0401512625251329	0.967972533139608	0.996542329936047
Gm5523	2.02375710298216	0.0581008360457812	0.0662230384666711	0.87735080405624	0.380296125512885	0.901938548828559
Eya1	10.0007497699462	0.0446435962870164	0.0288093040266356	1.54962425491922	0.121231727852679	0.660270219797847
Terf1	222.283396766285	-0.00483995447604167	0.00778981695580404	-0.62131812640803	0.534390329553639	0.947692242600344
Rpl7	11330.7357812776	-0.00101352385119453	0.00413041130477096	-0.245380853481548	0.80616155262299	0.98610916571764
Rdh10	108.761883016737	0.000405953223248653	0.00921803100759292	0.0440390385879879	0.964873285745956	0.996542329936047
Stau2	252.219801657945	-0.00091400448034884	0.00740302401924925	-0.123463665384883	0.901739944937707	0.991237894840908
Ube2w	492.141761501729	-0.0106496060782503	0.00576623800792388	-1.84688978561339	0.0647631154226541	0.517667581014845
Tceb1	199.141813834253	-0.000710147905162291	0.00722587108879329	-0.0982785184562273	0.92171113538288	0.99298557365535
Tmem70	213.382775416726	-0.00235134652524776	0.00683534446236634	-0.343998248836423	0.730847603045645	0.980641945700549
Ly96	193.795631746869	0.000963059990638599	0.0100663748370341	0.0956709844635941	0.923781886209739	0.993217274220755
Jph1	17.2621590332279	-0.0358492949292038	0.0242309085195834	-1.47948620664514	0.139010415151397	0.692808398880856
Mcm3	669.675618948281	0.00469314670372476	0.0126776951021598	0.370189270676278	0.711241470392934	0.978500446791056
Paqr8	7.03089311408541	0.03823610525161	0.0381885597604346	1.00124501922758	0.316708366525998	0.861447181580895
Efhc1	4.42540820265338	0.0319756590219251	0.044384045578012	0.720431375858309	0.471259437605345	0.934593866933056
Tram2	162.296418767105	0.0164016448485426	0.00822566925764077	1.99395870838196	0.0461565671983654	0.447819590495617
Tmem14a	5.26758964006948	0.0675841703585214	0.0393670041032052	1.71677199975242	0.0860208388703104	0.58293892906197
Gsta3	2.97033866884415	0.124002626129726	0.0547626647626595	2.26436435602891	0.0235517143582447	0.330235489382535
Mir30c-2	3.83807755623653	0.0747683734334696	0.042999318306323	1.73882694839083	0.0820652069097301	0.571416403764261
Ogfrl1	867.565956209056	-0.0146612919418054	0.00804173688357997	-1.82314991823987	0.0682806878807075	0.530847778137695
B3gat2	12.340335169716	-0.0124956846203986	0.0235505704294588	-0.53058946736883	0.595703296030002	0.960512457371282
Smap1	713.395268559662	-0.000176851699703008	0.00417018357522116	-0.0424086125977389	0.966172962667428	0.996542329936047
Sdhaf4	65.982749080498	-0.0041464995386811	0.0115060247836122	-0.360376378172492	0.718565689057764	0.979645030797898
Fam135a	470.417511967442	-0.000648012453884527	0.00714764735330913	-0.0906609436438575	0.927762005235684	0.993217274220755
Lmbrd1	1436.98654747748	-0.00606764181660362	0.00584452526879598	-1.0381753072399	0.299188446396496	0.849746214843408
4931408C20Rik	1.61096463420671	0.12573553310799	0.0792577567779965	1.5864129672529	0.112645660774045	0.642040326651899
Phf3	2870.24951989597	-0.00835330849486151	0.00520634257953521	-1.60444849090342	0.108615229703381	0.635241326602908
Ptp4a1	24.2834277497769	-0.00684716510826135	0.0167087383950885	-0.409795458301871	0.681955998123444	0.973028111852334
Prim2	185.135480110339	0.00097830950227691	0.0109928126707735	0.0889953764861232	0.929085584570703	0.993217274220755
1700001G17Rik	3.54993755644215	0.0112799020617085	0.0436289128434176	0.258541900922253	0.795988715550259	0.98610916571764
Rab23	85.1158064765942	-0.0112290500277223	0.0102579869281015	-1.09466409992788	0.273663821989855	0.831861226846228
Bag2	24.2893545596872	-0.0262472510666885	0.0163157449650986	-1.60870687319731	0.107680452195319	0.634016808091941
Zfp451	1056.74357714123	-0.00621435543774879	0.00539120470166332	-1.15268400694032	0.24904010816985	0.812627083952345
Gm15455	16.0546731043299	-0.0283771377962109	0.0217616632404573	-1.30399673419515	0.192234695873697	0.769253363805469
Bend6	110.713094134318	0.00359764226545249	0.00884090150047025	0.406931608191895	0.684058220136505	0.9733201268228
Dst	266.110564399101	0.0507796354874315	0.0122904202963537	4.13164352910672	3.60178681740239e-05	0.003063459877508
Mir5103	33.3502436776851	-0.00468913047637754	0.014763368144198	-0.317619287860161	0.750773741617126	0.982614019067995
Ccdc115	469.283533663891	-0.00544117537064692	0.00520356526716411	-1.04566294286385	0.295716677639301	0.846677638532127
Imp4	363.46842461451	-0.00764191827985321	0.00614252026653398	-1.24410143528355	0.213462232882112	0.790868885200501
Ptpn18	2815.93048365734	0.00517322727905652	0.00675149680863876	0.766234129361833	0.44353700429149	0.925679516880672
Prss39	2.30922041520216	-0.00446656895923204	0.057822646946508	-0.0772460133719593	0.938427837594325	0.993615298244628
Arhgef4	44.3808645529302	-0.0168708533423343	0.015511575871187	-1.08762987606386	0.276758536083884	0.835656931119794
Fam168b	1667.76767178461	-0.0139059565662383	0.00455220643750101	-3.05477283536204	0.00225231048230232	0.0749222906103563
Plekhb2	1549.71716202772	-0.00362828887724098	0.00404465557513325	-0.897057563948804	0.369688201297616	0.894557276189325
Hs6st1	1753.71797925041	0.0117441820306447	0.00799456439447983	1.46902088108189	0.141827125642408	0.695931547852696
Uggt1	5407.15892641986	-0.00520552753272061	0.00589494638189362	-0.883049173900791	0.377209703565774	0.898974266685949
Neurl3	1484.01773893259	0.00238466615045069	0.00654164289977073	0.364536277352324	0.715457589189474	0.979127044690942
Arid5a	553.267464163712	0.00805913857861891	0.00560986101482287	1.43660218271439	0.150831063059258	0.715805018273874
Kansl3	1224.3227751167	0.00303022989945136	0.0036950603307284	0.820075892740299	0.412172844137194	0.912073183119225
Mir6898	1.48210275384667	-0.0992371873036245	0.0778676257000115	-1.27443448302816	0.202509478045052	NA
Fer1l5	18.8891591270865	-0.00997128400564212	0.022125093588514	-0.450677596718444	0.652221931321421	0.967106211178413
Lman2l	224.158407684764	-0.0138271841120519	0.00648101758079333	-2.13348967807603	0.0328845774986472	0.386666008932769
Cnnm4	179.164944958347	0.00272606688655981	0.00927608867468202	0.293881072310174	0.768848781902357	0.985226323739273
Cnnm3	581.561866438423	-0.00181581225998789	0.00733877068572397	-0.247427305981937	0.804577543893041	0.98610916571764
Ankrd23	104.880997346638	-0.0106776254975187	0.00842981624784874	-1.26664985138242	0.205280518838559	0.782870104175898
Ankrd39	91.4431375333829	-0.00431931004124618	0.00910806869120295	-0.474228970782577	0.63533663632565	0.963922889720264
Sema4c	141.955933480818	0.00793915591247931	0.0109771656344646	0.723242791158499	0.46953073338177	0.933626627521255
Cox5b	717.680639044648	-0.002041571485494	0.00840883790745021	-0.242788778659317	0.808169028860755	0.98610916571764
Actr1b	614.93231243987	0.00148146394174482	0.0042233487114627	0.350779450847603	0.725753814679016	0.980039332446995
Zap70	1.17744049927697	0.000333646987111525	0.0805456612765491	0.00414233345190334	0.996694905545011	NA
Tmem131	2984.54302163214	-0.00534206672242731	0.00323285663508772	-1.65242920593735	0.0984470858263707	0.617624947724374
Inpp4a	2301.22711099819	0.00127916363885551	0.00482825771922885	0.264932759028409	0.791061261693929	0.98610916571764
Coa5	734.005079500077	-0.0076869472560387	0.00515999024873278	-1.48972127571879	0.136297538039837	0.689329619130836
Unc50	358.8551293392	0.00281939571412433	0.00638682124177878	0.441439584324284	0.658894790426788	0.968144990524896
Mgat4a	590.721946175035	0.00136940318594078	0.0040147632651288	0.341091888987593	0.733034407142896	0.980760438219207
4930594C11Rik	146.218040019144	0.0125228671445016	0.0073522085524624	1.70327964109607	0.0885157487018608	0.59030281378147
2010300C02Rik	10.9615326327552	-0.0377346696740065	0.026895233558477	-1.40302442780286	0.160609554734939	0.728531037471761
Tsga10	683.073651614607	0.00701190748960832	0.00472967282389389	1.48253542067113	0.138197886046813	0.69125027785761
Lipt1	16.7023178484343	0.0322824609675704	0.0203408808156409	1.58707291292652	0.112496131884559	0.641982747002118
Mitd1	160.969146065446	0.00707744783667348	0.0100215510264425	0.706222801041391	0.480049593007007	0.935761756829522
Mrpl30	393.598363412728	0.00713871213887514	0.0071631142447866	0.996593366365864	0.318961927181937	0.863374918716477
Txndc9	646.413619283858	0.00792146979252736	0.00460853846291825	1.71886810889526	0.0856383902757087	0.581734909362107
Eif5b	1622.85976381093	-0.00762116717999527	0.00667780250608993	-1.14126872920321	0.253758110980699	0.817876153476253
Rev1	467.556730871205	0.00275570108752761	0.00584774645145739	0.471241547560741	0.637468252081743	0.963922889720264
Aff3	7.86555436634284	-0.0647801550913001	0.0418695124046186	-1.54719153319192	0.121817067019002	0.661425695694916
Pdcl3	189.657712856385	-0.00276197554253822	0.0094237208172631	-0.29308758144433	0.769455208762026	0.985513235821084
Rpl31	3632.63199150635	0.00275810084623719	0.00513447745425651	0.537172647228338	0.591148363334942	0.959542717177595
Tbc1d8	508.150241686177	0.0095927526710245	0.00874747463910932	1.0966310926054	0.272802689864989	0.831342932169558
Cnot11	395.31948041435	0.00368646721468502	0.00556508068854878	0.662428349380563	0.507696740150323	0.942533590000679
Snord89	40.4679250356575	-0.0416812307227424	0.0202394531650062	-2.05940498406393	0.0394554587089175	0.412380673658178
Rnf149	959.783678325299	0.000602819339251375	0.00557694165583901	0.108091383495151	0.913923203082335	0.991237894840908
Creg2	2.33752218078585	0.012386046810819	0.060269600834671	0.205510682654028	0.837173152670668	0.988522877133764
Map4k4	2348.30463448777	-0.00787446725428631	0.00426878538056892	-1.84466225220178	0.0650866851877338	0.519085500509024
Gm16894	3.01302527149466	-0.106681780158081	0.0632680670982503	-1.68618680878005	0.0917598238398827	0.602457904424606
Il1r1	24.746069931048	-0.11151944313099	0.022388245680214	-4.98116041443779	6.32041185116413e-07	9.97501443710392e-05
Il1rl2	1.28147927089521	-0.1491848439187	0.0803783596706294	-1.85603245114758	0.0634489327327886	NA
Il1rl1	156.448346347066	-0.0288643742130856	0.0144443987475643	-1.99830915204781	0.0456831539045209	0.445968053649357
Il18r1	15.0472624376343	-0.0264397591704374	0.0303200410595981	-0.872022538441374	0.383196082102151	0.90219080891413
Il18rap	23.9280947690907	-0.0564408394355249	0.0248145844494926	-2.27450270426266	0.0229357786945971	0.325206986078219
